PolyID,Vegetation Map Unit Name,Area_Acres,Percent_Herbaceous,Percent_Shrub,Percent_Tree,ET_mm,ConsumptiveUse_AF
2483,Dry Native Riparian Shrubland,17.72,65.13,28.81,6.06,1020.82,59.35
3936,Native Riparian Forest,3.04,63.57,10.96,25.48,1021.18,10.18
4882,Salt Meadow/Dry Grassland,20.79,87.49,11.76,0.76,1021.61,69.68
5206,Wet Meadow,3.81,81.93,13.73,4.34,1021.93,12.77
4029,Native Riparian Forest,2.84,38.02,28.92,33.06,1022.08,9.52
6233,Russian Olive Woodland,1.9,50.07,44.53,5.40,1022.08,6.37
5890,Tamarisk Woodland,0.64,0.19,92.11,7.69,1022.29,2.15
5126,Wet Meadow,0.55,92.13,6.07,1.80,1022.45,1.84
631,Salt Meadow/Dry Grassland,0.25,98.73,1.27,0.00,1022.48,0.84
995,Native Riparian Forest,1.63,4.22,17.80,77.98,1022.68,5.47
3848,Native Riparian Forest,0.59,8.71,20.87,70.42,1022.74,1.98
4631,Salt Meadow/Dry Grassland,0.71,70.97,24.27,4.76,1023.01,2.38
4876,Salt Meadow/Dry Grassland,2.98,89.96,9.99,0.05,1023.19,10
2848,Wet Native Willow Shrubland,0.71,32.94,55.51,11.55,1023.54,2.38
71,Dry Native Riparian Shrubland,3.75,50.65,43.53,5.82,1023.56,12.59
1255,Tamarisk Woodland,20.29,41.82,34.88,23.31,1023.84,68.16
4670,Salt Meadow/Dry Grassland,0.46,71.12,12.84,16.04,1023.88,1.55
4474,Salt Meadow/Dry Grassland,1.07,82.26,14.85,2.89,1023.93,3.59
3935,Native Riparian Forest,5.22,62.13,17.30,20.57,1024.94,17.55
4547,Salt Meadow/Dry Grassland,0.47,87.63,9.53,2.84,1025,1.58
879,Wet Native Willow Shrubland,0.33,54.15,44.73,1.11,1025.01,1.11
5431,Wet Meadow,4.27,74.73,12.06,13.21,1025.05,14.36
6605,Russian Olive Woodland,81.5,56.20,37.87,5.93,1025.21,274.13
42,Dry Native Riparian Shrubland,2.06,76.12,21.28,2.61,1025.51,6.93
4564,Salt Meadow/Dry Grassland,0.3,81.79,6.60,11.61,1025.75,1.01
868,Tamarisk Woodland,1.15,84.77,15.08,0.15,1025.95,3.87
3002,Wet Native Willow Shrubland,0.32,21.59,69.18,9.23,1026.1,1.08
5879,Tamarisk Woodland,0.94,37.48,46.40,16.13,1026.3,3.17
2511,Dry Native Riparian Shrubland,0.89,62.53,26.94,10.52,1026.6,3
5033,Salt Meadow/Dry Grassland,2.44,91.34,2.83,5.83,1027.14,8.22
5967,Tamarisk Woodland,5.77,0.03,87.28,12.69,1027.26,19.45
4729,Salt Meadow/Dry Grassland,0.28,96.01,2.95,1.04,1027.35,0.94
3115,Wet Native Willow Shrubland,2.35,38.98,54.49,6.53,1027.47,7.92
5844,Tamarisk Woodland,2.68,29.06,54.72,16.22,1027.55,9.03
5853,Tamarisk Woodland,3.72,28.23,57.52,14.24,1027.56,12.54
3485,Native Riparian Forest,7.65,43.58,13.08,43.34,1027.57,25.79
113,Native Riparian Forest,3.51,24.29,14.36,61.35,1027.67,11.83
3172,Marsh/Wetland,0.88,75.04,24.85,0.11,1027.79,2.97
5926,Tamarisk Woodland,6.28,1.04,19.05,79.91,1027.85,21.18
3221,Native Riparian Forest,2.71,77.44,7.23,15.33,1028.06,9.14
5371,Wet Meadow,0.51,52.73,22.66,24.61,1028.19,1.72
1308,Tamarisk Woodland,17.49,16.44,51.70,31.86,1028.28,59
2492,Dry Native Riparian Shrubland,1.62,70.22,25.05,4.73,1028.45,5.47
5455,Wet Meadow,0.49,95.81,4.19,0.00,1028.56,1.65
5895,Tamarisk Woodland,9.59,5.78,87.45,6.77,1028.65,32.36
5114,Wet Meadow,1.28,92.62,3.20,4.18,1028.67,4.32
3117,Wet Native Willow Shrubland,35.1,36.35,60.55,3.10,1028.85,118.48
3680,Native Riparian Forest,25.23,15.43,2.62,81.94,1029.2,85.19
3211,Marsh/Wetland,18.67,66.41,33.57,0.03,1029.32,63.05
3113,Wet Native Willow Shrubland,17.84,35.62,57.33,7.05,1029.43,60.25
5448,Wet Meadow,1.7,97.93,1.93,0.13,1029.53,5.74
3637,Native Riparian Forest,33.33,14.16,6.76,79.08,1029.92,112.62
3842,Native Riparian Forest,1.21,22.77,60.83,16.40,1030.13,4.09
6232,Russian Olive Woodland,2,53.95,36.33,9.72,1030.46,6.76
5752,Tamarisk Woodland,2.98,52.55,33.66,13.80,1030.61,10.08
3392,Native Riparian Forest,6.42,26.65,11.77,61.58,1030.66,21.71
1257,Tamarisk Woodland,5.17,41.93,34.94,23.13,1030.83,17.48
5081,Wet Meadow,35.07,92.62,7.38,0.01,1030.98,118.62
3607,Native Riparian Forest,0.39,0.51,8.37,91.12,1031.04,1.32
4877,Salt Meadow/Dry Grassland,11.85,83.99,13.86,2.15,1031.13,40.09
5847,Tamarisk Woodland,2.45,30.99,37.09,31.92,1031.2,8.29
3707,Native Riparian Forest,0.31,0.32,27.78,71.90,1031.34,1.05
5350,Wet Meadow,0.44,74.73,23.07,2.20,1031.61,1.49
5348,Wet Meadow,0.41,66.25,27.21,6.55,1031.67,1.39
5059,Salt Meadow/Dry Grassland,6.44,48.82,49.17,2.01,1031.8,21.8
3235,Native Riparian Forest,3.33,74.50,12.51,13.00,1032.11,11.28
3836,Native Riparian Forest,18.67,10.12,17.77,72.11,1032.22,63.23
929,Wet Native Willow Shrubland,19.25,55.07,35.62,9.30,1032.63,65.22
6087,Tamarisk Woodland,0.45,22.88,40.69,36.44,1032.71,1.52
5057,Salt Meadow/Dry Grassland,200.06,83.84,15.54,0.62,1032.73,677.84
3359,Native Riparian Forest,1.46,27.51,8.19,64.30,1032.86,4.95
6105,Tamarisk Woodland,4.92,90.63,6.82,2.55,1033.07,16.68
189,Salt Meadow/Dry Grassland,1.05,84.15,15.85,0.00,1033.15,3.56
5138,Wet Meadow,0.57,92.03,7.97,0.00,1033.31,1.93
1215,Tamarisk Woodland,3.74,34.29,64.83,0.89,1033.46,12.68
8116,Mixed Russian Olive-Tamarisk Woodland and Scrub,4.22,16.70,47.09,36.21,1033.65,14.31
4268,Salt Meadow/Dry Grassland,2.92,93.98,5.99,0.03,1033.81,9.9
5304,Wet Meadow,6.31,83.65,5.53,10.83,1033.92,21.4
2432,Dry Native Riparian Shrubland,9.68,79.91,18.21,1.88,1033.99,32.84
3656,Native Riparian Forest,52.57,8.18,11.41,80.41,1034.84,178.48
5398,Wet Meadow,9.12,92.94,5.31,1.74,1035.13,30.97
5643,Tamarisk Woodland,26.87,83.41,9.02,7.57,1035.52,91.29
4642,Salt Meadow/Dry Grassland,0.35,61.46,21.66,16.88,1036.45,1.19
6237,Russian Olive Woodland,0.94,65.13,20.30,14.57,1036.93,3.2
5116,Wet Meadow,2.51,95.31,2.87,1.82,1037.12,8.54
6244,Russian Olive Woodland,7.06,50.80,28.46,20.73,1037.21,24.02
3003,Wet Native Willow Shrubland,5.2,10.88,86.65,2.47,1037.34,17.7
5842,Tamarisk Woodland,0.39,30.91,56.77,12.32,1037.38,1.33
3968,Native Riparian Forest,1.09,67.01,12.57,20.43,1037.39,3.71
173,Salt Meadow/Dry Grassland,1.87,80.31,19.69,0.00,1037.5,6.37
2427,Dry Native Riparian Shrubland,3.43,79.49,18.98,1.53,1037.64,11.68
968,Native Riparian Forest,17.05,64.35,8.27,27.38,1037.7,58.05
2637,Wet Native Willow Shrubland,0.74,64.09,35.88,0.03,1037.78,2.52
170,Salt Meadow/Dry Grassland,0.47,80.31,19.69,0.00,1037.8,1.6
5736,Tamarisk Woodland,0.7,65.00,29.46,5.54,1038.09,2.38
5254,Wet Meadow,2.97,85.18,10.31,4.50,1038.1,10.12
2800,Wet Native Willow Shrubland,2.82,49.94,48.30,1.75,1038.13,9.6
